trade_date,open,high,low,close,vol,pre_close
20190701,14.01,14.18,13.87,13.93,960636,13.78
20190628,13.73,13.79,13.58,13.78,498093.69,13.71
20190627,13.5,13.85,13.45,13.71,925074.94,13.37
20190626,13.27,13.5,13.19,13.37,546504.76,13.29
20190625,13.72,13.72,13.07,13.43,1469227.07,13.69
20190624,13.69,13.83,13.61,13.69,659572.85,13.64
20190621,13.76,13.87,13.58,13.64,1011129.15,13.8
20190620,13.17,13.95,13.12,13.8,1529191.47,13.07
20190619,13.29,13.39,13.01,13.07,1143226.39,12.8
20190618,12.67,12.85,12.59,12.8,483555.12,12.67
20190617,12.48,12.79,12.48,12.67,619815.88,12.49
20190614,12.59,12.69,12.45,12.49,483191.73,12.59
20190613,12.54,12.68,12.43,12.59,530000.26,12.57
20190612,12.63,12.66,12.44,12.57,657310.18,12.65
20190611,12.34,12.72,12.3,12.65,1251087.51,12.34
20190610,12.01,12.47,11.98,12.34,1144668.82,11.92
20190606,11.97,12.07,11.89,11.92,433665.26,11.97
20190605,11.97,12.14,11.92,11.97,748892.31,11.85
20190604,11.89,11.94,11.6,11.85,974655.34,11.9
20190603,12.22,12.33,11.82,11.9,1512719.05,12.18
20190531,12.16,12.4,12.11,12.18,686794.39,12.22
20190530,12.32,12.38,12.11,12.22,646284.65,12.4
20190529,12.36,12.59,12.26,12.4,666411.5,12.49
20190528,12.31,12.55,12.26,12.49,880703.12,12.37
20190527,12.21,12.42,11.93,12.37,1048425.98,12.35
20190524,12.35,12.45,12.31,12.35,495526.2,12.29
20190523,12.24,12.42,12.14,12.29,666855.43,12.4
20190522,12.57,12.57,12.32,12.4,506230.72,12.56
20190521,12.4,12.73,12.36,12.56,731210.51,12.38
20190520,12.35,12.54,12.25,12.38,786435.18,12.44
20190517,12.92,12.93,12.36,12.44,965000.85,12.85
20190516,12.93,12.99,12.78,12.85,634901.43,12.92
20190515,12.58,13.11,12.57,12.92,1103988.51,12.49
20190514,12.2,12.75,12.16,12.49,1182598.19,12.3
20190513,12.33,12.54,12.23,12.3,741917.79,12.68
20190510,12.34,12.75,12.1,12.68,1192399.08,12.16
20190509,12.52,12.58,12.05,12.16,1557151.61,12.6
20190508,12.72,12.91,12.5,12.6,975450.81,12.95
20190507,13.03,13.09,12.72,12.95,1072658.41,12.87
20190506,13.1,13.35,12.71,12.87,2108667.84,13.85
20190430,13.99,14.05,13.59,13.85,1116570.27,14.1
20190429,13.9,14.33,13.86,14.1,1030695.75,13.79
20190426,14.08,14.25,13.7,13.79,1009421.24,14.13
20190425,14.38,14.64,14.13,14.13,1111476.37,14.44
20190424,14.45,14.6,14.16,14.44,1949723.63,14.07
20190423,14.1,14.2,13.97,14.07,940687.34,14.15
20190422,14.6,14.84,14.08,14.15,1322273.9,14.73
20190419,14.45,14.8,14.3,14.73,1246036.09,14.34
20190418,14.3,14.37,14.11,14.34,507045.3,14.35
20190417,14.42,14.59,14.23,14.35,1004109.87,14.58
20190416,13.67,14.58,13.55,14.58,2379375.18,13.69
20190415,13.72,14.09,13.66,13.69,1533890.68,13.42
20190412,13.49,13.59,13.21,13.42,774324.64,13.54
20190411,13.73,13.96,13.49,13.54,655356.62,13.73
20190410,13.75,13.88,13.4,13.73,947135.06,13.81
20190409,13.87,13.98,13.75,13.81,781332.38,13.96
20190408,13.9,14.43,13.72,13.96,1743176.2,13.86
20190404,13.43,14,13.43,13.86,2034365,13.44
20190403,13.21,13.45,13.15,13.44,792915.79,13.36
20190402,13.28,13.48,13.23,13.36,1100384.04,13.18
20190401,12.83,13.55,12.83,13.18,1951401.19,12.82
20190329,12.26,12.82,12.21,12.82,1669506.47,12.22
20190328,12.31,12.31,12.1,12.22,732467.44,12.38
20190327,12.24,12.47,12.18,12.38,922826.8,12.1
20190326,12.23,12.29,12.01,12.1,935393.27,12.11
20190325,12.4,12.4,12.1,12.11,1179883.26,12.59
20190322,12.69,12.74,12.5,12.59,713502.06,12.69
20190321,12.77,12.8,12.58,12.69,860140.8,12.75
20190320,12.68,12.88,12.62,12.75,929996.38,12.79
20190319,12.92,12.94,12.61,12.79,957196.46,12.91
20190318,12.53,12.94,12.32,12.91,1486454.8,12.5
20190315,12.34,12.68,12.34,12.5,1045406.03,12.43
20190314,12.33,12.62,12.27,12.43,1057467.9,12.37
20190313,12.34,12.55,12.13,12.37,1269427.16,12.36
20190312,12.49,12.64,12.24,12.36,1411794.92,12.32
20190311,12.3,12.49,12.05,12.32,1157650.77,12.3
20190308,12.49,12.7,12.25,12.3,1778162.1,12.74
20190307,13.06,13.06,12.55,12.74,1782057.31,13.08
20190306,13.06,13.15,12.84,13.08,1245760.2,13.06
20190305,12.91,13.29,12.84,13.06,1408422.22,12.99
20190304,12.7,13.38,12.62,12.99,2456830.39,12.76
20190301,12.48,12.78,12.2,12.76,1712679.16,12.36
20190228,12.44,12.61,12.27,12.36,1113099.8,12.4
20190227,12.24,12.66,12.15,12.4,1979013.88,12.2
20190226,12.55,12.57,12.15,12.2,2017544.93,12.55
20190225,11.7,12.64,11.57,12.55,2824935.02,11.54
20190222,11.35,11.57,11.15,11.54,1184047.79,11.36
20190221,11.38,11.55,11.28,11.36,754246.48,11.41
20190220,11.33,11.53,11.25,11.41,832629.87,11.27
20190219,11.36,11.62,11.24,11.27,1270882.04,11.36
20190218,11.05,11.36,11.04,11.36,1255522.21,10.95
20190215,11.23,11.23,10.9,10.95,1100127.46,11.25
20190214,11.3,11.33,11.19,11.25,869185.19,11.38
20190213,11.19,11.41,11.12,11.38,1137365.74,11.19
20190212,11.2,11.31,11.03,11.19,959936.9,11.21
20190211,11.08,11.21,10.97,11.21,801936.63,11.2
20190201,11.2,11.25,10.96,11.2,1014270.07,11.1
20190131,10.98,11.2,10.94,11.1,831622.75,10.95
20190130,10.95,11.18,10.86,10.95,712001.01,11
20190129,10.96,11.07,10.77,11,826631.1,10.94
20190128,11.04,11.14,10.88,10.94,1035909.8,11
20190125,10.56,11.04,10.55,11,2108361.85,10.52
20190124,10.4,10.55,10.37,10.52,679240.88,10.35
20190123,10.29,10.47,10.29,10.35,537876.63,10.28
20190122,10.34,10.44,10.26,10.28,424413.57,10.34
20190121,10.34,10.47,10.32,10.34,659355.76,10.43
20190118,10.34,10.49,10.28,10.43,738793.26,10.25
20190117,10.54,10.57,10.17,10.25,882811.92,10.48
20190116,10.24,10.5,10.23,10.48,977699.37,10.24
20190115,10.11,10.28,10.09,10.24,542160.55,10.11
20190114,10.22,10.25,10.07,10.11,500443.59,10.2
20190111,10.11,10.22,10.05,10.2,696364.55,10.1
20190110,9.87,10.2,9.86,10.1,1071817.66,9.94
20190109,9.74,10.08,9.7,9.94,1233486.36,9.66
20190108,9.73,9.74,9.62,9.66,402388.11,9.74
20190107,9.84,9.85,9.63,9.74,865687.66,9.75
20190104,9.24,9.82,9.22,9.75,1481159.06,9.28
20190103,9.18,9.33,9.15,9.28,415537.95,9.19
20190102,9.39,9.42,9.16,9.19,539386.32,9.38
20181228,9.31,9.46,9.31,9.38,576604,9.28
20181227,9.45,9.49,9.28,9.28,624593.27,9.3
20181226,9.35,9.42,9.27,9.3,421140.6,9.34
20181225,9.29,9.43,9.21,9.34,586615.45,9.42
20181224,9.4,9.45,9.31,9.42,509117.67,9.45
20181221,9.68,9.7,9.33,9.45,1000616.76,9.71
20181220,9.92,9.97,9.63,9.71,990284.79,9.94
20181219,10.14,10.18,9.9,9.94,598007.01,10.12
20181218,10.2,10.32,10.1,10.12,537744.3,10.29
20181217,10.16,10.33,10.1,10.29,571274.87,10.17
20181214,10.34,10.35,10.16,10.17,526675.13,10.39
20181213,10.25,10.48,10.2,10.39,790845.21,10.24
20181212,10.3,10.32,10.2,10.24,366379.03,10.23
20181211,10.21,10.26,10.17,10.23,299089.62,10.17
20181210,10.22,10.27,10.13,10.17,494818.87,10.28
