trade_time,open,high,low,close,vol,pre_close
2018/1/2 9:30,13.35,13.35,13.35,13.35,866084,
2018/1/2 9:31,13.38,13.39,13.36,13.37,2035335,13.35
2018/1/2 9:32,13.37,13.38,13.32,13.32,884581,13.37
2018/1/2 9:33,13.33,13.35,13.32,13.35,866794,13.32
2018/1/2 9:34,13.35,13.38,13.35,13.35,1090620,13.35
2018/1/2 9:35,13.35,13.37,13.35,13.37,1543819,13.35
2018/1/2 9:36,13.37,13.46,13.37,13.45,1244805,13.37
2018/1/2 9:37,13.46,13.52,13.45,13.52,1629813,13.45
2018/1/2 9:38,13.51,13.51,13.48,13.5,1677500,13.52
2018/1/2 9:39,13.5,13.5,13.46,13.47,2250460,13.5
2018/1/2 9:40,13.47,13.52,13.47,13.52,1965700,13.47
2018/1/2 9:41,13.52,13.54,13.51,13.54,2206420,13.52
2018/1/2 9:42,13.53,13.63,13.53,13.63,3355521,13.54
2018/1/2 9:43,13.64,13.65,13.6,13.61,2652110,13.63
2018/1/2 9:44,13.6,13.61,13.57,13.57,1589749,13.61
2018/1/2 9:45,13.57,13.58,13.55,13.55,1330766,13.57
2018/1/2 9:46,13.56,13.59,13.56,13.59,1603485,13.55
2018/1/2 9:47,13.59,13.6,13.58,13.6,1070595,13.59
2018/1/2 9:48,13.6,13.65,13.6,13.65,1944600,13.6
2018/1/2 9:49,13.63,13.64,13.62,13.62,1397440,13.65
2018/1/2 9:50,13.62,13.62,13.59,13.59,2128394,13.62
2018/1/2 9:51,13.6,13.67,13.6,13.67,2151309,13.59
2018/1/2 9:52,13.66,13.76,13.66,13.76,4415320,13.67
2018/1/2 9:53,13.76,13.8,13.76,13.76,4674200,13.76
2018/1/2 9:54,13.75,13.77,13.74,13.74,2122480,13.76
2018/1/2 9:55,13.76,13.81,13.75,13.79,3153796,13.74
2018/1/2 9:56,13.8,13.8,13.76,13.78,1688000,13.79
2018/1/2 9:57,13.79,13.8,13.77,13.79,3320626,13.78
2018/1/2 9:58,13.79,13.9,13.78,13.9,6063416,13.79
2018/1/2 9:59,13.9,13.9,13.82,13.83,2653679,13.9
2018/1/2 10:00,13.82,13.86,13.82,13.85,1898620,13.83
2018/1/2 10:01,13.86,13.86,13.83,13.83,2373680,13.85
2018/1/2 10:02,13.83,13.85,13.82,13.82,2073059,13.83
2018/1/2 10:03,13.82,13.82,13.79,13.79,1891141,13.82
2018/1/2 10:04,13.78,13.79,13.75,13.75,1927700,13.79
2018/1/2 10:05,13.75,13.8,13.75,13.78,1938460,13.75
2018/1/2 10:06,13.78,13.8,13.76,13.76,1269478,13.78
2018/1/2 10:07,13.76,13.76,13.74,13.74,1514122,13.76
2018/1/2 10:08,13.76,13.76,13.74,13.75,882100,13.74
2018/1/2 10:09,13.76,13.77,13.75,13.77,910360,13.75
2018/1/2 10:10,13.77,13.79,13.76,13.79,882361,13.77
2018/1/2 10:11,13.79,13.8,13.76,13.76,1124200,13.79
2018/1/2 10:12,13.76,13.76,13.75,13.75,777693,13.76
2018/1/2 10:13,13.74,13.75,13.74,13.74,933550,13.75
2018/1/2 10:14,13.74,13.75,13.74,13.75,561200,13.74
2018/1/2 10:15,13.74,13.76,13.72,13.73,971550,13.75
2018/1/2 10:16,13.72,13.73,13.72,13.73,843302,13.73
2018/1/2 10:17,13.73,13.75,13.73,13.75,893648,13.73
2018/1/2 10:18,13.74,13.78,13.74,13.78,456660,13.75
2018/1/2 10:19,13.78,13.79,13.77,13.78,520300,13.78
2018/1/2 10:20,13.77,13.79,13.77,13.77,647933,13.78
2018/1/2 10:21,13.77,13.78,13.76,13.77,752900,13.77
2018/1/2 10:22,13.77,13.78,13.76,13.76,438200,13.77
2018/1/2 10:23,13.77,13.79,13.77,13.78,993134,13.76
2018/1/2 10:24,13.78,13.84,13.78,13.83,2210240,13.78
2018/1/2 10:25,13.84,13.85,13.82,13.84,1036700,13.83
