,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
5060,000001.SZ,2018-01-02 09:30:00,13.35,13.35,13.35,13.35,866084.0,11562221.0,20180102,
5059,000001.SZ,2018-01-02 09:31:00,13.38,13.39,13.36,13.37,2035335.0,27209646.0,20180102,13.35
5058,000001.SZ,2018-01-02 09:32:00,13.37,13.38,13.32,13.32,884581.0,11817825.0,20180102,13.37
5057,000001.SZ,2018-01-02 09:33:00,13.33,13.35,13.32,13.35,866794.0,11555626.0,20180102,13.32
5056,000001.SZ,2018-01-02 09:34:00,13.35,13.38,13.35,13.35,1090620.0,14572665.0,20180102,13.35
5055,000001.SZ,2018-01-02 09:35:00,13.35,13.37,13.35,13.37,1543819.0,20631084.0,20180102,13.35
5054,000001.SZ,2018-01-02 09:36:00,13.37,13.46,13.37,13.45,1244805.0,16699598.0,20180102,13.37
5053,000001.SZ,2018-01-02 09:37:00,13.46,13.52,13.45,13.52,1629813.0,21973394.0,20180102,13.45
5052,000001.SZ,2018-01-02 09:38:00,13.51,13.51,13.48,13.5,1677500.0,22649364.0,20180102,13.52
5051,000001.SZ,2018-01-02 09:39:00,13.5,13.5,13.46,13.47,2250460.0,30350666.0,20180102,13.5
5050,000001.SZ,2018-01-02 09:40:00,13.47,13.52,13.47,13.52,1965700.0,26524732.0,20180102,13.47
5049,000001.SZ,2018-01-02 09:41:00,13.52,13.54,13.51,13.54,2206420.0,29839810.0,20180102,13.52
5048,000001.SZ,2018-01-02 09:42:00,13.53,13.63,13.53,13.63,3355521.0,45601184.0,20180102,13.54
5047,000001.SZ,2018-01-02 09:43:00,13.64,13.65,13.6,13.61,2652110.0,36147796.0,20180102,13.63
5046,000001.SZ,2018-01-02 09:44:00,13.6,13.61,13.57,13.57,1589749.0,21613570.0,20180102,13.61
5045,000001.SZ,2018-01-02 09:45:00,13.57,13.58,13.55,13.55,1330766.0,18049084.0,20180102,13.57
5044,000001.SZ,2018-01-02 09:46:00,13.56,13.59,13.56,13.59,1603485.0,21776226.0,20180102,13.55
5043,000001.SZ,2018-01-02 09:47:00,13.59,13.6,13.58,13.6,1070595.0,14551174.0,20180102,13.59
5042,000001.SZ,2018-01-02 09:48:00,13.6,13.65,13.6,13.65,1944600.0,26506702.0,20180102,13.6
5041,000001.SZ,2018-01-02 09:49:00,13.63,13.64,13.62,13.62,1397440.0,19043274.0,20180102,13.65
5040,000001.SZ,2018-01-02 09:50:00,13.62,13.62,13.59,13.59,2128394.0,28963784.0,20180102,13.62
5039,000001.SZ,2018-01-02 09:51:00,13.6,13.67,13.6,13.67,2151309.0,29335594.0,20180102,13.59
5038,000001.SZ,2018-01-02 09:52:00,13.66,13.76,13.66,13.76,4415320.0,60519096.0,20180102,13.67
5037,000001.SZ,2018-01-02 09:53:00,13.76,13.8,13.76,13.76,4674200.0,64433276.0,20180102,13.76
5036,000001.SZ,2018-01-02 09:54:00,13.75,13.77,13.74,13.74,2122480.0,29200814.0,20180102,13.76
5035,000001.SZ,2018-01-02 09:55:00,13.76,13.81,13.75,13.79,3153796.0,43471276.0,20180102,13.74
5034,000001.SZ,2018-01-02 09:56:00,13.8,13.8,13.76,13.78,1688000.0,23265892.0,20180102,13.79
5033,000001.SZ,2018-01-02 09:57:00,13.79,13.8,13.77,13.79,3320626.0,45778772.0,20180102,13.78
5032,000001.SZ,2018-01-02 09:58:00,13.79,13.9,13.78,13.9,6063416.0,83958584.0,20180102,13.79
5031,000001.SZ,2018-01-02 09:59:00,13.9,13.9,13.82,13.83,2653679.0,36832008.0,20180102,13.9
5030,000001.SZ,2018-01-02 10:00:00,13.82,13.86,13.82,13.85,1898620.0,26292712.0,20180102,13.83
5029,000001.SZ,2018-01-02 10:01:00,13.86,13.86,13.83,13.83,2373680.0,32865532.0,20180102,13.85
5028,000001.SZ,2018-01-02 10:02:00,13.83,13.85,13.82,13.82,2073059.0,28686436.0,20180102,13.83
5027,000001.SZ,2018-01-02 10:03:00,13.82,13.82,13.79,13.79,1891141.0,26100542.0,20180102,13.82
5026,000001.SZ,2018-01-02 10:04:00,13.78,13.79,13.75,13.75,1927700.0,26557708.0,20180102,13.79
5025,000001.SZ,2018-01-02 10:05:00,13.75,13.8,13.75,13.78,1938460.0,26680924.0,20180102,13.75
5024,000001.SZ,2018-01-02 10:06:00,13.78,13.8,13.76,13.76,1269478.0,17497520.0,20180102,13.78
