,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20081230,9.46,9.63,9.34,9.5,9.47,0.03,0.32,327193.01,310284.2446
1,000001.SZ,20081229,9.6,9.62,9.2,9.47,9.72,-0.25,-2.57,277930.62,260911.1114
2,000001.SZ,20081226,9.75,9.89,9.65,9.72,9.78,-0.06,-0.61,265881.39,259658.8764
3,000001.SZ,20081225,10.27,10.27,9.67,9.78,10.12,-0.34,-3.36,306839.66,305689.644
4,000001.SZ,20081224,9.95,10.37,9.92,10.12,10.18,-0.06,-0.59,346034.93,351841.9325
5,000001.SZ,20081223,10.31,10.61,9.98,10.18,10.3,-0.12,-1.17,505692.18,517378.3257
6,000001.SZ,20081222,10.5,10.58,10.17,10.3,10.53,-0.23,-2.18,340562.07,352120.6751
7,000001.SZ,20081219,10.49,10.83,10.43,10.53,10.6,-0.07,-0.66,551088.31,585389.8399
8,000001.SZ,20081218,10.02,10.65,9.88,10.6,10.02,0.58,5.79,623343.95,646179.6937
9,000001.SZ,20081217,10.21,10.28,9.9,10.02,10.15,-0.13,-1.28,518092.48,522745.2208
10,000001.SZ,20081216,10.06,10.21,9.75,10.15,10.22,-0.07,-0.68,403335.87,402624.4967
11,000001.SZ,20081215,10.51,10.59,9.8,10.22,10.23,-0.01,-0.1,558988.6,566912.61
12,000001.SZ,20081212,10.65,10.74,10.09,10.23,10.82,-0.59,-5.45,491301.34,509399.6277
13,000001.SZ,20081211,11.02,11.31,10.8,10.82,11.24,-0.42,-3.74,675100.34,743099.8299
14,000001.SZ,20081210,10.44,11.33,10.44,11.24,10.42,0.82,7.87,1017260.67,1107176.4838
15,000001.SZ,20081209,11.0,11.01,10.4,10.42,10.85,-0.43,-3.96,691029.95,738684.8307
16,000001.SZ,20081208,10.6,10.97,10.51,10.85,10.31,0.54,5.24,873828.62,941639.7994
17,000001.SZ,20081205,9.96,10.36,9.95,10.31,10.0,0.31,3.1,672297.77,686355.8743
18,000001.SZ,20081204,9.98,10.45,9.9,10.0,9.65,0.35,3.63,1174168.71,1195770.0931
19,000001.SZ,20081203,9.27,9.66,9.24,9.65,9.12,0.53,5.81,863898.88,818587.7992
20,000001.SZ,20081202,8.89,9.18,8.79,9.12,9.12,0.0,0.0,340893.64,307018.5845
21,000001.SZ,20081201,8.87,9.16,8.87,9.12,8.99,0.13,1.45,318610.7,287548.1462
22,000001.SZ,20081128,9.33,9.33,8.8,8.99,9.46,-0.47,-4.97,495141.79,445436.1475
23,000001.SZ,20081127,10.1,10.18,9.45,9.46,9.5,-0.04,-0.42,834056.16,819263.3347
24,000001.SZ,20081126,9.68,9.69,9.3,9.5,9.66,-0.16,-1.66,313662.96,298018.0828
25,000001.SZ,20081125,10.02,10.09,9.48,9.66,9.78,-0.12,-1.23,370937.09,362505.9387
26,000001.SZ,20081124,10.24,10.25,9.73,9.78,10.23,-0.45,-4.4,451106.66,446222.0666
27,000001.SZ,20081121,10.1,10.68,9.85,10.23,10.52,-0.29,-2.76,546568.07,558293.329
28,000001.SZ,20081120,10.68,10.92,10.39,10.52,10.96,-0.44,-4.01,611339.37,648795.018
29,000001.SZ,20081119,10.11,11.03,10.03,10.96,10.1,0.86,8.51,545662.5,575104.2554
30,000001.SZ,20081118,10.88,11.35,9.94,10.1,11.01,-0.91,-8.27,726605.12,774392.9269
31,000001.SZ,20081117,10.6,11.05,10.42,11.01,10.62,0.39,3.67,651754.07,701432.8497
32,000001.SZ,20081114,10.4,10.75,10.16,10.62,10.28,0.34,3.31,688606.04,718879.4158
33,000001.SZ,20081113,9.6,10.45,9.49,10.28,9.78,0.5,5.11,648835.98,646979.3218
34,000001.SZ,20081112,9.37,9.89,9.33,9.78,9.52,0.26,2.73,364710.64,354006.3747
35,000001.SZ,20081111,9.53,9.88,9.4,9.52,9.65,-0.13,-1.35,515000.34,496466.9092
36,000001.SZ,20081110,9.09,9.66,9.0,9.65,8.79,0.86,9.78,565848.66,531007.1944
37,000001.SZ,20081107,8.26,8.99,8.21,8.79,8.43,0.36,4.27,318944.58,278272.1983
38,000001.SZ,20081106,8.5,8.66,8.36,8.43,8.85,-0.42,-4.75,233617.86,197855.6286
39,000001.SZ,20081105,8.45,9.15,8.42,8.85,8.35,0.5,5.99,472622.33,416404.7239
40,000001.SZ,20081104,8.31,8.46,8.0,8.35,8.4,-0.05,-0.6,195276.12,161018.4063
41,000001.SZ,20081103,8.25,8.65,8.16,8.4,8.37,0.03,0.36,201981.25,170813.0042
42,000001.SZ,20081031,8.7,8.76,8.3,8.37,8.67,-0.3,-3.46,244054.45,208945.3779
43,000001.SZ,20081030,11.0,11.56,10.9,11.31,11.02,0.29,2.63,342019.94,387916.8826
44,000001.SZ,20081029,11.65,11.65,11.0,11.02,11.49,-0.47,-4.09,282279.17,319639.492
45,000001.SZ,20081028,10.5,11.75,10.41,11.49,10.83,0.66,6.09,418838.21,470876.5326
46,000001.SZ,20081027,11.69,11.7,10.83,10.83,12.03,-1.2,-9.98,306553.0,342612.5109
47,000001.SZ,20081024,12.56,12.66,11.85,12.03,12.54,-0.51,-4.07,287750.96,350582.2042
48,000001.SZ,20081023,12.8,12.8,11.89,12.54,13.15,-0.61,-4.64,357685.49,438513.6023
49,000001.SZ,20081022,13.03,13.6,13.0,13.15,13.28,-0.13,-0.98,136977.94,182835.5429
50,000001.SZ,20081021,13.6,13.86,13.28,13.28,13.58,-0.3,-2.21,150515.68,204932.8012
51,000001.SZ,20081020,12.78,13.81,12.6,13.58,12.9,0.68,5.27,152016.82,201089.2697
52,000001.SZ,20081017,12.53,12.9,12.38,12.9,12.39,0.51,4.12,188299.92,238347.9495
53,000001.SZ,20081016,12.55,12.78,12.18,12.39,13.18,-0.79,-5.99,258596.54,323126.8853
54,000001.SZ,20081014,13.86,14.08,13.13,13.18,13.26,-0.08,-0.6,504096.08,691503.0926
55,000001.SZ,20081013,12.2,13.26,12.1,13.26,12.05,1.21,10.04,511122.79,662164.8094
56,000001.SZ,20081010,12.4,12.54,11.98,12.05,12.99,-0.94,-7.24,158856.4,194138.9528
57,000001.SZ,20081009,13.6,13.63,12.86,12.99,13.2,-0.21,-1.59,158573.76,208970.2395
58,000001.SZ,20081008,13.3,13.53,12.75,13.2,13.99,-0.79,-5.65,300445.17,395906.9637
59,000001.SZ,20081007,13.35,14.34,13.2,13.99,13.9,0.09,0.65,190886.11,263179.2645
60,000001.SZ,20081006,14.78,14.78,13.49,13.9,14.99,-1.09,-7.27,296757.71,414885.3256
61,000001.SZ,20080926,15.51,15.59,14.38,14.99,15.31,-0.32,-2.09,253028.27,376995.2379
62,000001.SZ,20080925,14.78,15.67,14.68,15.31,14.7,0.61,4.15,246201.04,375387.8439
63,000001.SZ,20080924,14.7,14.84,14.37,14.7,15.09,-0.39,-2.58,195686.13,286085.9332
64,000001.SZ,20080923,15.4,15.85,14.98,15.09,16.09,-1.0,-6.22,205716.93,316776.9158
65,000001.SZ,20080922,16.08,16.09,15.08,16.09,14.63,1.46,9.98,603467.39,965465.7982
66,000001.SZ,20080919,14.63,14.63,14.5,14.63,13.3,1.33,10.0,111367.64,162823.4298
67,000001.SZ,20080918,12.51,13.98,12.4,13.3,13.07,0.23,1.76,290192.41,374958.7434
68,000001.SZ,20080917,13.93,14.14,12.95,13.07,14.39,-1.32,-9.17,298090.21,394824.1138
69,000001.SZ,20080916,15.7,15.7,14.39,14.39,15.99,-1.6,-10.01,278833.92,403052.1969
70,000001.SZ,20080912,16.1,16.38,15.88,15.99,16.1,-0.11,-0.68,48542.49,78310.5315
71,000001.SZ,20080911,17.19,17.19,16.02,16.1,17.2,-1.1,-6.4,94133.27,154977.3598
72,000001.SZ,20080910,17.36,17.68,16.89,17.2,17.43,-0.23,-1.32,62206.51,107032.5992
73,000001.SZ,20080909,17.8,17.89,17.38,17.43,17.68,-0.25,-1.41,78719.95,138427.9696
74,000001.SZ,20080908,18.6,18.6,17.5,17.68,18.24,-0.56,-3.07,61712.35,110649.603
75,000001.SZ,20080905,17.92,18.5,17.66,18.24,18.3,-0.06,-0.33,106253.96,191459.0243
