,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
4337,000001.SZ,2010-09-01 09:30:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,
4336,000001.SZ,2010-09-01 09:31:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4335,000001.SZ,2010-09-01 09:32:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4334,000001.SZ,2010-09-01 09:33:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4333,000001.SZ,2010-09-01 09:34:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4332,000001.SZ,2010-09-01 09:35:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4331,000001.SZ,2010-09-01 09:36:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4330,000001.SZ,2010-09-01 09:37:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4329,000001.SZ,2010-09-01 09:38:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4328,000001.SZ,2010-09-01 09:39:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4327,000001.SZ,2010-09-01 09:40:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4326,000001.SZ,2010-09-01 09:41:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4325,000001.SZ,2010-09-01 09:42:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4324,000001.SZ,2010-09-01 09:43:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4323,000001.SZ,2010-09-01 09:44:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4322,000001.SZ,2010-09-01 09:45:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4321,000001.SZ,2010-09-01 09:46:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4320,000001.SZ,2010-09-01 09:47:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4319,000001.SZ,2010-09-01 09:48:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4318,000001.SZ,2010-09-01 09:49:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4317,000001.SZ,2010-09-01 09:50:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4316,000001.SZ,2010-09-01 09:51:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4315,000001.SZ,2010-09-01 09:52:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4314,000001.SZ,2010-09-01 09:53:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4313,000001.SZ,2010-09-01 09:54:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4312,000001.SZ,2010-09-01 09:55:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4311,000001.SZ,2010-09-01 09:56:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4310,000001.SZ,2010-09-01 09:57:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4309,000001.SZ,2010-09-01 09:58:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4308,000001.SZ,2010-09-01 09:59:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4307,000001.SZ,2010-09-01 10:00:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4306,000001.SZ,2010-09-01 10:01:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4305,000001.SZ,2010-09-01 10:02:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4304,000001.SZ,2010-09-01 10:03:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4303,000001.SZ,2010-09-01 10:04:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4302,000001.SZ,2010-09-01 10:05:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4301,000001.SZ,2010-09-01 10:06:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4300,000001.SZ,2010-09-01 10:07:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4299,000001.SZ,2010-09-01 10:08:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4298,000001.SZ,2010-09-01 10:09:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4297,000001.SZ,2010-09-01 10:10:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4296,000001.SZ,2010-09-01 10:11:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4295,000001.SZ,2010-09-01 10:12:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4294,000001.SZ,2010-09-01 10:13:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4293,000001.SZ,2010-09-01 10:14:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4292,000001.SZ,2010-09-01 10:15:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4291,000001.SZ,2010-09-01 10:16:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4290,000001.SZ,2010-09-01 10:17:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4289,000001.SZ,2010-09-01 10:18:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4288,000001.SZ,2010-09-01 10:19:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4287,000001.SZ,2010-09-01 10:20:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4286,000001.SZ,2010-09-01 10:21:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4285,000001.SZ,2010-09-01 10:22:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4284,000001.SZ,2010-09-01 10:23:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
4283,000001.SZ,2010-09-01 10:24:00,17.51,17.51,17.51,17.51,0.0,0.0,20100901,17.51
